fish,metric,y,baseline,recovery,drug,dose
24,sum_distance_light_epoch_all,0.56211198,0,0,1,0.05
25,sum_distance_light_epoch_all,0.63750994,0,0,1,0.05
26,sum_distance_light_epoch_all,0.65610878,0,0,1,0.05
27,sum_distance_light_epoch_all,0.72136584,0,0,1,0.05
28,sum_distance_light_epoch_all,1.04376205,0,0,1,0.05
29,sum_distance_light_epoch_all,0.68849736,0,0,1,0.05
30,sum_distance_light_epoch_all,0.6527875,0,0,1,0.05
31,sum_distance_light_epoch_all,0.6813908000000001,0,0,1,0.05
32,sum_distance_light_epoch_all,0.56098233,0,0,1,0.05
33,sum_distance_light_epoch_all,0.67696445,0,0,1,0.05
34,sum_distance_light_epoch_all,0.77905178,0,0,1,0.05
35,sum_distance_light_epoch_all,0.80396257,0,0,1,0.05
36,sum_distance_light_epoch_all,0.8436508,0,0,1,0.05
37,sum_distance_light_epoch_all,0.98068275,0,0,1,0.05
38,sum_distance_light_epoch_all,0.66299921,0,0,1,0.05
39,sum_distance_light_epoch_all,0.90200606,0,0,1,0.05
40,sum_distance_light_epoch_all,0.60555048,0,0,1,0.05
21,max_distance_dark_epoch_1,0.00365871,0,0,1,0.05
21,max_distance_dark_epoch_2,0.0025531,0,0,1,0.05
21,max_distance_dark_epoch_3,0.00215612,0,0,1,0.05
22,max_distance_dark_epoch_1,0.00256502,0,0,1,0.05
22,max_distance_dark_epoch_2,0.00253058,0,0,1,0.05
22,max_distance_dark_epoch_3,0.00189256,0,0,1,0.05
23,max_distance_dark_epoch_1,0.00111323,0,0,1,0.05
23,max_distance_dark_epoch_2,0.00307517,0,0,1,0.05
23,max_distance_dark_epoch_3,0.00120724,0,0,1,0.05
24,max_distance_dark_epoch_1,0.00150367,0,0,1,0.05
24,max_distance_dark_epoch_2,0.00132577,0,0,1,0.05
24,max_distance_dark_epoch_3,0.00115828,0,0,1,0.05
25,max_distance_dark_epoch_1,0.00150399,0,0,1,0.05
25,max_distance_dark_epoch_2,0.00026252,0,0,1,0.05
25,max_distance_dark_epoch_3,0.0001284,0,0,1,0.05
26,max_distance_dark_epoch_1,0.00050871,0,0,1,0.05
26,max_distance_dark_epoch_2,0.00075584,0,0,1,0.05
26,max_distance_dark_epoch_3,0.00012117,0,0,1,0.05
27,max_distance_dark_epoch_1,0.00204468,0,0,1,0.05
27,max_distance_dark_epoch_2,0.00132602,0,0,1,0.05
27,max_distance_dark_epoch_3,0.00166771,0,0,1,0.05
28,max_distance_dark_epoch_1,0.00183199,0,0,1,0.05
28,max_distance_dark_epoch_2,0.00513113,0,0,1,0.05
28,max_distance_dark_epoch_3,0.00127783,0,0,1,0.05
29,max_distance_dark_epoch_1,0.00400381,0,0,1,0.05
29,max_distance_dark_epoch_2,0.00136713,0,0,1,0.05
29,max_distance_dark_epoch_3,0.00180023,0,0,1,0.05
30,max_distance_dark_epoch_1,0.00226408,0,0,1,0.05
30,max_distance_dark_epoch_2,0.0001237,0,0,1,0.05
30,max_distance_dark_epoch_3,0.00107861,0,0,1,0.05
31,max_distance_dark_epoch_1,8.627e-05,0,0,1,0.05
31,max_distance_dark_epoch_2,0.0001678,0,0,1,0.05
31,max_distance_dark_epoch_3,0.00016329,0,0,1,0.05
32,max_distance_dark_epoch_1,0.00103117,0,0,1,0.05
32,max_distance_dark_epoch_2,0.00331467,0,0,1,0.05
32,max_distance_dark_epoch_3,0.00088159,0,0,1,0.05
33,max_distance_dark_epoch_1,0.00269908,0,0,1,0.05
33,max_distance_dark_epoch_2,0.00091229,0,0,1,0.05
33,max_distance_dark_epoch_3,0.00111665,0,0,1,0.05
34,max_distance_dark_epoch_1,0.00410756,0,0,1,0.05
34,max_distance_dark_epoch_2,0.00191918,0,0,1,0.05
34,max_distance_dark_epoch_3,0.00235148,0,0,1,0.05
35,max_distance_dark_epoch_1,0.00295607,0,0,1,0.05
35,max_distance_dark_epoch_2,0.00093254,0,0,1,0.05
35,max_distance_dark_epoch_3,0.00099865,0,0,1,0.05
36,max_distance_dark_epoch_1,0.00322684,0,0,1,0.05
36,max_distance_dark_epoch_2,0.00093005,0,0,1,0.05
36,max_distance_dark_epoch_3,0.00129782,0,0,1,0.05
37,max_distance_dark_epoch_1,0.00125851,0,0,1,0.05
37,max_distance_dark_epoch_2,0.00105977,0,0,1,0.05
37,max_distance_dark_epoch_3,0.00119857,0,0,1,0.05
38,max_distance_dark_epoch_1,0.00135499,0,0,1,0.05
38,max_distance_dark_epoch_2,0.0018015999999999998,0,0,1,0.05
38,max_distance_dark_epoch_3,0.00183421,0,0,1,0.05
39,max_distance_dark_epoch_1,0.00388115,0,0,1,0.05
39,max_distance_dark_epoch_2,0.00155082,0,0,1,0.05
39,max_distance_dark_epoch_3,0.00127757,0,0,1,0.05
40,max_distance_dark_epoch_1,0.00055741,0,0,1,0.05
40,max_distance_dark_epoch_2,0.00010859999999999997,0,0,1,0.05
40,max_distance_dark_epoch_3,0.00045649,0,0,1,0.05
21,max_distance_dark_epoch_all,0.00365871,0,0,1,0.05
22,max_distance_dark_epoch_all,0.00256502,0,0,1,0.05
23,max_distance_dark_epoch_all,0.00307517,0,0,1,0.05
24,max_distance_dark_epoch_all,0.00150367,0,0,1,0.05
25,max_distance_dark_epoch_all,0.00150399,0,0,1,0.05
26,max_distance_dark_epoch_all,0.00075584,0,0,1,0.05
27,max_distance_dark_epoch_all,0.00204468,0,0,1,0.05
28,max_distance_dark_epoch_all,0.00513113,0,0,1,0.05
29,max_distance_dark_epoch_all,0.00400381,0,0,1,0.05
30,max_distance_dark_epoch_all,0.00226408,0,0,1,0.05
31,max_distance_dark_epoch_all,0.0001678,0,0,1,0.05
32,max_distance_dark_epoch_all,0.00331467,0,0,1,0.05
33,max_distance_dark_epoch_all,0.00269908,0,0,1,0.05
34,max_distance_dark_epoch_all,0.00410756,0,0,1,0.05
35,max_distance_dark_epoch_all,0.00295607,0,0,1,0.05
36,max_distance_dark_epoch_all,0.00322684,0,0,1,0.05
37,max_distance_dark_epoch_all,0.00125851,0,0,1,0.05
38,max_distance_dark_epoch_all,0.00183421,0,0,1,0.05
39,max_distance_dark_epoch_all,0.00388115,0,0,1,0.05
