fish,metric,y,dose,condition
112,mean_speed_dark_epoch_all,0.00098982,50.0,baseline
113,mean_speed_dark_epoch_all,0.00076146,50.0,baseline
114,mean_speed_dark_epoch_all,0.00131845,50.0,baseline
115,mean_speed_dark_epoch_all,0.00230817,50.0,baseline
116,mean_speed_dark_epoch_all,0.00068111,50.0,baseline
117,mean_speed_dark_epoch_all,0.00101508,50.0,baseline
118,mean_speed_dark_epoch_all,0.00071616,50.0,baseline
119,mean_speed_dark_epoch_all,0.00085814,50.0,baseline
120,mean_speed_dark_epoch_all,0.00074958,50.0,baseline
101,max_speed_light_startle_rep_1,0.03132762,50.0,baseline
101,max_speed_light_startle_rep_2,0.00954196,50.0,baseline
102,max_speed_light_startle_rep_1,0.01568856,50.0,baseline
102,max_speed_light_startle_rep_2,0.00241314,50.0,baseline
103,max_speed_light_startle_rep_1,0.00185232,50.0,baseline
103,max_speed_light_startle_rep_2,0.00202327,50.0,baseline
104,max_speed_light_startle_rep_1,0.02332816,50.0,baseline
104,max_speed_light_startle_rep_2,0.01925425,50.0,baseline
105,max_speed_light_startle_rep_1,0.00204513,50.0,baseline
105,max_speed_light_startle_rep_2,0.00163258,50.0,baseline
106,max_speed_light_startle_rep_1,0.00191013,50.0,baseline
106,max_speed_light_startle_rep_2,0.00223239,50.0,baseline
107,max_speed_light_startle_rep_1,0.00166435,50.0,baseline
107,max_speed_light_startle_rep_2,0.02612655,50.0,baseline
108,max_speed_light_startle_rep_1,0.01690682,50.0,baseline
108,max_speed_light_startle_rep_2,0.0023838,50.0,baseline
109,max_speed_light_startle_rep_1,0.00887349,50.0,baseline
109,max_speed_light_startle_rep_2,0.00218361,50.0,baseline
110,max_speed_light_startle_rep_1,0.00169954,50.0,baseline
110,max_speed_light_startle_rep_2,0.00353695,50.0,baseline
111,max_speed_light_startle_rep_1,0.00415207,50.0,baseline
111,max_speed_light_startle_rep_2,0.00204349,50.0,baseline
112,max_speed_light_startle_rep_1,0.00223521,50.0,baseline
112,max_speed_light_startle_rep_2,0.00208426,50.0,baseline
113,max_speed_light_startle_rep_1,0.00231721,50.0,baseline
113,max_speed_light_startle_rep_2,0.0016855,50.0,baseline
114,max_speed_light_startle_rep_1,0.03051267,50.0,baseline
114,max_speed_light_startle_rep_2,0.002343,50.0,baseline
115,max_speed_light_startle_rep_1,0.0231743,50.0,baseline
115,max_speed_light_startle_rep_2,0.02078174,50.0,baseline
116,max_speed_light_startle_rep_1,0.00209347,50.0,baseline
116,max_speed_light_startle_rep_2,0.0105748,50.0,baseline
117,max_speed_light_startle_rep_1,0.01432965,50.0,baseline
117,max_speed_light_startle_rep_2,0.00217012,50.0,baseline
118,max_speed_light_startle_rep_1,0.00184733,50.0,baseline
118,max_speed_light_startle_rep_2,0.00280623,50.0,baseline
119,max_speed_light_startle_rep_1,0.00247093,50.0,baseline
119,max_speed_light_startle_rep_2,0.0015367,50.0,baseline
120,max_speed_light_startle_rep_1,0.00202986,50.0,baseline
120,max_speed_light_startle_rep_2,0.0155875,50.0,baseline
101,diff_max_speed_light_startle_rep_1,-0.0024731,50.0,baseline
101,diff_max_speed_light_startle_rep_2,0.00030517,50.0,baseline
102,diff_max_speed_light_startle_rep_1,0.00083337,50.0,baseline
102,diff_max_speed_light_startle_rep_2,0.00067992,50.0,baseline
103,diff_max_speed_light_startle_rep_1,0.00010463,50.0,baseline
103,diff_max_speed_light_startle_rep_2,-0.000519,50.0,baseline
104,diff_max_speed_light_startle_rep_1,-0.01129425,50.0,baseline
104,diff_max_speed_light_startle_rep_2,-0.01250174,50.0,baseline
105,diff_max_speed_light_startle_rep_1,-0.00027333,50.0,baseline
105,diff_max_speed_light_startle_rep_2,-0.00023889,50.0,baseline
106,diff_max_speed_light_startle_rep_1,0.00046787,50.0,baseline
106,diff_max_speed_light_startle_rep_2,-0.00014824,50.0,baseline
107,diff_max_speed_light_startle_rep_1,-0.00062522,50.0,baseline
107,diff_max_speed_light_startle_rep_2,-0.00868225,50.0,baseline
108,diff_max_speed_light_startle_rep_1,-0.01502592,50.0,baseline
108,diff_max_speed_light_startle_rep_2,-2.14e-05,50.0,baseline
109,diff_max_speed_light_startle_rep_1,-0.00733898,50.0,baseline
109,diff_max_speed_light_startle_rep_2,0.00028796,50.0,baseline
110,diff_max_speed_light_startle_rep_1,0.00054913,50.0,baseline
110,diff_max_speed_light_startle_rep_2,0.00199432,50.0,baseline
111,diff_max_speed_light_startle_rep_1,-7.312e-05,50.0,baseline
111,diff_max_speed_light_startle_rep_2,0.00022092,50.0,baseline
112,diff_max_speed_light_startle_rep_1,0.00042507,50.0,baseline
112,diff_max_speed_light_startle_rep_2,-0.00075325,50.0,baseline
113,diff_max_speed_light_startle_rep_1,0.00080005,50.0,baseline
113,diff_max_speed_light_startle_rep_2,7.8e-06,50.0,baseline
114,diff_max_speed_light_startle_rep_1,0.00444847,50.0,baseline
114,diff_max_speed_light_startle_rep_2,-0.00035561,50.0,baseline
115,diff_max_speed_light_startle_rep_1,-0.0174041,50.0,baseline
115,diff_max_speed_light_startle_rep_2,0.00589849,50.0,baseline
116,diff_max_speed_light_startle_rep_1,-0.00072499,50.0,baseline
116,diff_max_speed_light_startle_rep_2,-0.00054583,50.0,baseline
117,diff_max_speed_light_startle_rep_1,0.01309845,50.0,baseline
117,diff_max_speed_light_startle_rep_2,0.0007158,50.0,baseline
118,diff_max_speed_light_startle_rep_1,8.628e-05,50.0,baseline
118,diff_max_speed_light_startle_rep_2,-0.00160858,50.0,baseline
119,diff_max_speed_light_startle_rep_1,-0.00029739,50.0,baseline
119,diff_max_speed_light_startle_rep_2,0.00081523,50.0,baseline
120,diff_max_speed_light_startle_rep_1,4.384e-05,50.0,baseline
120,diff_max_speed_light_startle_rep_2,-0.00036373,50.0,baseline
101,avg_latency_max_speed_light_startle_rep_1,0.3799503,50.0,baseline
101,avg_latency_max_speed_light_startle_rep_2,0.53326358,50.0,baseline
