fish,metric,y,dose,condition
76,mean_speed_dark_epoch_all,0.00150116,2.5,recovery
77,mean_speed_dark_epoch_all,0.00078692,2.5,recovery
78,mean_speed_dark_epoch_all,0.00126558,2.5,recovery
79,mean_speed_dark_epoch_all,0.00200592,2.5,recovery
80,mean_speed_dark_epoch_all,0.00129036,2.5,recovery
61,max_speed_light_startle_rep_1,0.02308024,2.5,recovery
61,max_speed_light_startle_rep_2,0.01310531,2.5,recovery
62,max_speed_light_startle_rep_1,0.00292931,2.5,recovery
62,max_speed_light_startle_rep_2,0.0043799,2.5,recovery
63,max_speed_light_startle_rep_1,0.0236499,2.5,recovery
63,max_speed_light_startle_rep_2,0.0040308,2.5,recovery
64,max_speed_light_startle_rep_1,0.01830528,2.5,recovery
64,max_speed_light_startle_rep_2,0.01546319,2.5,recovery
65,max_speed_light_startle_rep_1,0.00271051,2.5,recovery
65,max_speed_light_startle_rep_2,0.00260558,2.5,recovery
66,max_speed_light_startle_rep_1,0.00353204,2.5,recovery
66,max_speed_light_startle_rep_2,0.00312911,2.5,recovery
67,max_speed_light_startle_rep_1,0.01555882,2.5,recovery
67,max_speed_light_startle_rep_2,0.02638722,2.5,recovery
69,max_speed_light_startle_rep_1,0.01534723,2.5,recovery
69,max_speed_light_startle_rep_2,0.02457099,2.5,recovery
70,max_speed_light_startle_rep_1,0.0186417,2.5,recovery
70,max_speed_light_startle_rep_2,0.00392254,2.5,recovery
71,max_speed_light_startle_rep_1,0.05379306,2.5,recovery
71,max_speed_light_startle_rep_2,0.06831244,2.5,recovery
72,max_speed_light_startle_rep_1,0.02726772,2.5,recovery
72,max_speed_light_startle_rep_2,0.01566712,2.5,recovery
73,max_speed_light_startle_rep_1,0.00194675,2.5,recovery
73,max_speed_light_startle_rep_2,0.02082748,2.5,recovery
74,max_speed_light_startle_rep_1,0.00187921,2.5,recovery
74,max_speed_light_startle_rep_2,0.00207366,2.5,recovery
75,max_speed_light_startle_rep_1,0.00520381,2.5,recovery
75,max_speed_light_startle_rep_2,0.00280245,2.5,recovery
76,max_speed_light_startle_rep_1,0.00272532,2.5,recovery
76,max_speed_light_startle_rep_2,0.01597797,2.5,recovery
77,max_speed_light_startle_rep_1,0.00184027,2.5,recovery
77,max_speed_light_startle_rep_2,0.00718385,2.5,recovery
78,max_speed_light_startle_rep_1,0.01807627,2.5,recovery
78,max_speed_light_startle_rep_2,0.01966154,2.5,recovery
79,max_speed_light_startle_rep_1,0.02520992,2.5,recovery
79,max_speed_light_startle_rep_2,0.01196493,2.5,recovery
